330	-1.35e-14	-8.88e-16	2.66e-15	-9.54e+01	1.60e+02	-5.55e+01
340	-1.27e-14	-1.33e-15	3.55e-15	-1.37e+00	2.75e+02	1.90e+01
350	-9.77e-15	-4.44e-16	4.44e-15	2.54e+01	2.56e+02	1.75e+02
360	-8.26e-15	1.33e-15	6.22e-15	-6.94e+00	1.55e+02	2.39e+02
370	-8.88e-15	3.55e-15	7.11e-15	-6.31e+01	-2.02e+01	1.77e+02
380	-9.66e-15	4.44e-15	7.99e-15	-1.17e+02	-1.46e+02	-3.74e+01
390	-6.88e-15	7.55e-15	5.77e-15	-1.29e+02	-8.01e+01	-2.08e+02
400	-4.88e-15	7.55e-15	9.33e-15	-8.88e+01	9.52e+01	-2.14e+02
410	-2.11e-15	4.88e-15	4.44e-15	1.10e+01	9.68e+01	-9.96e+01
420	4.22e-15	4.68e-15	4.00e-15	-1.08e-01	3.17e+01	-8.28e+01
430	6.66e-16	9.44e-16	1.33e-15	-5.41e+00	-6.22e+01	-5.62e+01
440	-2.89e-15	-7.77e-16	4.88e-15	3.24e+01	-7.61e+01	-5.93e+01
450	-6.11e-16	6.99e-15	8.44e-15	8.71e+01	-8.58e+01	-1.04e+02
460	-8.16e-15	3.93e-15	1.87e-14	1.39e+02	-9.41e+01	-1.37e+02
470	-9.88e-15	6.88e-15	1.78e-14	1.92e+02	-2.79e+01	-1.53e+02
480	-6.66e-15	7.33e-15	1.86e-14	2.21e+02	1.14e+01	-1.98e+02
490	-7.11e-15	7.55e-15	1.36e-14	1.83e+02	-6.41e+01	-2.70e+02
500	-2.00e-15	4.44e-15	2.00e-14	6.81e+01	-2.11e+02	-2.98e+02
510	4.44e-16	1.78e-15	1.09e-14	-3.05e+01	-1.61e+02	-9.14e+01
520	3.55e-15	6.66e-16	1.46e-14	-4.96e+01	-3.09e+01	-2.01e+01
530	1.55e-15	1.78e-15	1.19e-14	-5.93e+01	1.17e+02	6.52e+00
540	-4.22e-15	1.67e-15	1.40e-14	-7.28e+01	1.14e+02	1.63e+01
550	-5.88e-15	2.11e-15	1.27e-14	-7.14e+01	1.44e-01	4.18e+01
560	-1.14e-14	5.33e-15	1.50e-14	-2.04e+01	-5.45e+01	9.32e+01
570	-9.33e-15	6.66e-16	1.37e-14	7.83e+01	7.16e+00	8.34e+01
580	-8.05e-15	1.33e-15	1.69e-14	1.70e+02	1.74e+01	-2.34e+01
590	-8.94e-15	-3.11e-15	1.28e-14	1.97e+02	-9.65e+01	-1.41e+02
600	-1.24e-14	-5.33e-15	1.15e-14	1.44e+02	-1.27e+02	-1.55e+02
610	-6.83e-15	4.00e-15	8.44e-15	1.67e+01	2.80e+01	-1.83e+01
620	-4.00e-15	-2.66e-15	8.33e-15	-6.97e+01	1.52e+02	7.15e+01
630	-5.55e-16	-4.44e-15	7.16e-15	-8.17e+01	1.44e+02	1.00e+02
640	-3.33e-16	-4.44e-16	5.36e-15	-2.48e+01	5.05e+01	5.31e+01
650	1.11e-15	-7.99e-15	3.14e-15	4.15e+01	-1.99e+01	-1.83e+01
660	6.77e-15	-6.66e-15	2.66e-15	8.49e+01	-6.74e+01	-5.66e+01
670	4.88e-15	-7.99e-15	5.55e-16	8.40e+01	-1.35e+02	-5.30e+01
680	3.33e-15	-5.77e-15	-1.55e-15	6.93e+01	-1.85e+02	-1.41e+01
690	3.55e-15	-7.11e-15	-2.22e-16	6.55e+01	-1.02e+02	1.40e+01
700	1.22e-14	-2.22e-15	-3.55e-15	4.14e+01	1.13e+02	5.63e+01
710	3.77e-15	-1.55e-15	1.78e-15	2.10e+01	1.83e+02	6.37e+01
720	6.44e-15	-2.89e-15	3.44e-15	4.87e+01	9.77e+01	3.47e+01
730	9.77e-15	-3.69e-15	2.00e-15	1.01e+02	-8.65e+01	-6.58e+01
740	9.99e-15	-3.61e-15	3.11e-15	1.09e+02	-1.86e+02	-1.52e+02
750	1.31e-14	-3.77e-15	4.77e-15	3.14e+01	-1.59e+02	-1.69e+02
760	1.20e-14	-1.55e-15	1.67e-15	-8.57e+01	-5.58e+01	-1.40e+02
770	1.22e-14	-3.33e-16	4.22e-15	-1.59e+02	8.10e+00	-6.35e+01
780	1.38e-14	7.77e-16	6.38e-15	-1.39e+02	-2.77e+01	4.89e+01
790	1.27e-14	2.00e-15	4.01e-15	-3.13e+01	-5.10e+01	1.28e+02
800	1.15e-14	3.89e-15	3.16e-15	1.07e+02	4.19e+01	1.34e+02
810	2.33e-15	1.58e-15	9.44e-16	1.59e+02	1.18e+02	3.31e+01
820	1.19e-15	-8.33e-17	5.55e-16	1.40e+02	1.31e+02	2.58e+01
830	3.84e-15	-1.28e-15	-4.77e-15	4.65e+01	4.34e+01	4.90e+01
840	1.72e-15	-6.66e-16	-5.11e-15	-4.85e+01	-9.19e+01	3.14e+01
850	6.55e-15	9.99e-16	-3.55e-15	-6.29e+01	-1.79e+02	-6.82e+01
860	4.44e-16	2.50e-15	-6.44e-15	7.72e+00	-1.73e+02	-1.50e+02
870	3.11e-15	1.67e-15	-9.10e-15	9.30e+01	-9.57e+01	-8.30e+01
880	4.22e-15	4.55e-15	-9.77e-15	1.53e+02	2.73e+01	8.39e+01
890	8.88e-16	6.99e-15	-1.07e-14	1.60e+02	7.22e+01	1.58e+02
900	8.88e-16	6.99e-15	-8.66e-15	1.09e+02	-3.83e+01	4.20e+01
910	1.55e-15	5.44e-15	-3.55e-15	1.67e+01	-1.53e+02	-1.41e+02
920	0.00e+00	4.33e-15	-5.22e-15	-3.90e+01	-1.27e+02	-1.52e+02
930	1.11e-15	5.33e-15	-9.44e-15	-3.50e+01	4.51e+01	-8.12e+00
940	1.78e-15	5.44e-15	-6.22e-15	1.97e+01	1.89e+02	1.20e+02
950	1.33e-15	5.22e-15	-3.72e-15	6.24e+01	1.45e+02	9.39e+01
960	4.88e-15	7.11e-15	-5.22e-15	7.45e+01	-7.79e+01	-2.69e+01
970	9.33e-15	-4.30e-16	-6.11e-15	7.19e+01	-2.81e+02	-8.10e+01
980	7.99e-15	1.35e-15	-6.13e-15	5.86e+01	-2.83e+02	-1.14e+01
990	7.99e-15	5.07e-15	-6.90e-15	6.15e+01	-1.59e+02	6.81e+01
1000	8.22e-15	5.41e-15	-5.22e-15	4.93e+01	-7.58e+01	5.35e+01
1010	1.78e-15	9.71e-16	-4.00e-15	7.49e+00	7.07e+00	-6.74e+00
1020	2.78e-15	2.33e-15	-7.66e-15	-2.25e+01	1.10e+02	-4.07e+01
